,Date,User,Tweet,hashtag,text,Segmented#
0,2023-03-11 12:42:24+00:00,ReheSamay,https://t.co/3gjkMbOik7,[],[],
1,2023-03-11 12:42:14+00:00,ReheSamay,India Tour 2023 is live! Ticket link: https://t.co/LtbTDcZMHb https://t.co/kWlmbuUMX4,[],"['india', 'tour', 'live', 'ticket', 'link']",
2,2023-02-21 20:43:07+00:00,ReheSamay,@viditchess 🔥🔥🔥🔥🔥,[],[],
3,2023-02-20 08:55:51+00:00,ReheSamay,@iam_abhijeet @chesscom_in underpromote to knight and mate after the black knight moves,[],"['underpromote', 'knight', 'mate', 'black', 'knight', 'move']",
4,2023-02-13 15:48:03+00:00,ReheSamay,@anishgiri @ChesscomLive I would love to join but don't want to ruin the perfect number of players,[],"['would', 'love', 'join', 'dont', 'want', 'ruin', 'perfect', 'number', 'player']",
5,2023-02-07 07:04:00+00:00,ReheSamay,@imVkohli You mean this? https://t.co/xZ58xw4W3V,[],['mean'],
6,2023-02-04 17:33:26+00:00,ReheSamay,@GamerFleetOG just for ad revenue,[],"['ad', 'revenue']",
7,2023-01-31 11:48:53+00:00,ReheSamay,Mere school k teachers ne kabhi tax bharna nahi sikhaaya kyuki woh khud kabhi tax bracket mai nahi aaye,[],"['mere', 'school', 'k', 'teacher', 'ne', 'kabhi', 'tax', 'bharna', 'nahi', 'sikhaaya', 'kyuki', 'woh', 'khud', 'kabhi', 'tax', 'bracket', 'mai', 'nahi', 'aaye']",
8,2023-01-31 11:33:23+00:00,ReheSamay,'Mai kisi ka jhootha nahi khaata'. Proceeds to go down on partner who had 15 exes,[],"['mai', 'kisi', 'ka', 'jhootha', 'nahi', 'khaata', 'proceeds', 'go', 'partner', 'ex']",
9,2023-01-31 11:29:24+00:00,ReheSamay,Everytime a house owner tells me he won't rent his house to me because he wants a family i ask him if his daughter is single,[],"['everytime', 'house', 'owner', 'tell', 'wont', 'rent', 'house', 'want', 'family', 'ask', 'daughter', 'single']",
10,2023-01-31 11:20:00+00:00,ReheSamay,"I'm not a good listener, I just know what facial expressions to make when someone's talking to me",[],"['im', 'good', 'listener', 'know', 'facial', 'expression', 'make', 'someones', 'talking']",
