,Date,User,Tweet,hashtag,text,Segmented#
0,2023-03-23 15:17:34+00:00,narendramodi,Commendable feat!,[],"['commendable', 'feat']",
1,2023-03-23 15:17:17+00:00,narendramodi,अद्भुत प्रयास! जन सेवा के ऐसे अभियान विकास को नई गति देने वाले हैं।,[],[],
2,2023-03-23 15:16:55+00:00,narendramodi,"At a programme in Varanasi tomorrow, 24th March, various development works would be inaugurated or their foundation stones would be laid. These include infra projects, STPs and LPG bottling plant. https://t.co/z9TpqBEL7G",[],"['programme', 'varanasi', 'tomorrow', 'th', 'march', 'various', 'development', 'work', 'would', 'inaugurated', 'foundation', 'stone', 'would', 'laid', 'include', 'infra', 'project', 'stp', 'lpg', 'bottling', 'plant']",
3,2023-03-23 15:16:09+00:00,narendramodi,"24th March is marked as World TB Day to spread awareness on aspects relating to TB and eliminating it. On this occasion tomorrow, I will be speaking at the ‘One World TB Summit’ in Varanasi. India is making numerous efforts to eliminate this disease.",[],"['th', 'march', 'marked', 'world', 'tb', 'day', 'spread', 'awareness', 'aspect', 'relating', 'tb', 'eliminating', 'occasion', 'tomorrow', 'speaking', 'one', 'world', 'tb', 'summit', 'varanasi', 'india', 'making', 'numerous', 'effort', 'eliminate', 'disease']",
4,2023-03-23 03:26:21+00:00,narendramodi,Best wishes to Minister Smt. @smritiirani Ji on her birthday. She is providing admirable leadership to our Government's efforts to further the welfare of our Nari Shakti. She is admired for her oratory and connect with people from all walks of life. Praying for her long life.,[],"['best', 'wish', 'minister', 'smt', 'ji', 'birthday', 'providing', 'admirable', 'leadership', 'governments', 'effort', 'welfare', 'nari', 'shakti', 'admired', 'oratory', 'connect', 'people', 'walk', 'life', 'praying', 'long', 'life']",
5,2023-03-23 03:25:50+00:00,narendramodi,Remembering Dr. Ram Manohar Lohia Ji on his birth anniversary. He was a towering intellectual and prolific thinker who contributed immensely to India's freedom struggle and later as a dedicated leader as well as MP. We are working hard to fulfil his vision for a strong India.,[],"['remembering', 'dr', 'ram', 'manohar', 'lohia', 'ji', 'birth', 'anniversary', 'wa', 'towering', 'intellectual', 'prolific', 'thinker', 'contributed', 'immensely', 'indias', 'freedom', 'struggle', 'later', 'dedicated', 'leader', 'well', 'mp', 'working', 'hard', 'fulfil', 'vision', 'strong', 'india']",
6,2023-03-23 03:21:33+00:00,narendramodi,"India will always remember the sacrifice of Bhagat Singh, Sukhdev and Rajguru. These are greats who made an unparalleled contribution to our freedom struggle. https://t.co/SZeSThDxUW",[],"['india', 'always', 'remember', 'sacrifice', 'bhagat', 'singh', 'sukhdev', 'rajguru', 'great', 'made', 'unparalleled', 'contribution', 'freedom', 'struggle']",
7,2023-03-22 16:21:42+00:00,narendramodi,Attended the Civil Investiture Ceremony at Rashtrapati Bhavan where the Padma Awards were given. It is inspiring to be in the midst of outstanding achievers who have distinguished themselves in different fields and contributed to national progress. https://t.co/N7X8dgVKHk,[],"['attended', 'civil', 'investiture', 'ceremony', 'rashtrapati', 'bhavan', 'padma', 'award', 'given', 'inspiring', 'midst', 'outstanding', 'achiever', 'distinguished', 'different', 'field', 'contributed', 'national', 'progress']",
8,2023-03-22 15:04:36+00:00,narendramodi,"Chaired a meeting to review the preparedness on COVID-19 and Influenza. Discussed ramping up genome sequencing, improving preparedness of hospitals and importance of Covid appropriate behaviour. It is important to remain vigilant and take all precautions. https://t.co/amrzlwtcUL",[],"['chaired', 'meeting', 'review', 'preparedness', 'covid', 'influenza', 'discussed', 'ramping', 'genome', 'sequencing', 'improving', 'preparedness', 'hospital', 'importance', 'covid', 'appropriate', 'behaviour', 'important', 'remain', 'vigilant', 'take', 'precaution']",
9,2023-03-22 11:56:58+00:00,narendramodi,"தமிழ்நாடு ஜவுளித்துறையுடன் நெருங்கிய தொடர்பைக் கொண்டுள்ளது. பிரதமரின் மெகா ஜவுளிப் பூங்கா, உலக அளவிலான செயற்கை இழை மற்றும் ஜவுளித் தொழில்நுட்ப  சந்தையில் தமிழ்நாடு அதிக பங்கைப் பெற உதவும். இதன் மூலம் ஜவுளிக்கான சர்வதேச மையமாக மாறுவதற்கான இந்தியாவின் முயற்சிகளை ஊக்குவிக்கும்.",[],[' '],
