,Date,User,Tweet,hashtag,text,Segmented#
0,2023-03-21 06:42:59+00:00,GretaThunberg,"Today, after yesterday's #IPCC report, everything is back to normal – as always. We continue to ignore the climate crisis as if nothing happened. Our societies are still in denial, and those in power go on with their never ending quests to maximise profits. We cannot afford this.",['IPCC'],"['today', 'yesterdays', 'report', 'everything', 'back', 'normal', 'always', 'continue', 'ignore', 'climate', 'crisis', 'nothing', 'happened', 'society', 'still', 'denial', 'power', 'go', 'never', 'ending', 'quest', 'maximise', 'profit', 'cannot', 'afford']",ipcc
1,2023-03-20 18:10:19+00:00,GretaThunberg,"It is getting even more impossible to ignore the climate crisis. The fact that people in power still somehow live in denial, and actively move in the wrong direction, will eventually be seen for and understood as the unprecedented betrayal it is. It is just a matter of time.",[],"['getting', 'even', 'impossible', 'ignore', 'climate', 'crisis', 'fact', 'people', 'power', 'still', 'somehow', 'live', 'denial', 'actively', 'move', 'wrong', 'direction', 'eventually', 'seen', 'understood', 'unprecedented', 'betrayal', 'matter', 'time']",
2,2023-03-17 10:30:36+00:00,GretaThunberg,Climate strike week 239. #FridaysForFuture #ClimateStrike #TomorrowIsTooLate #StopEACOP https://t.co/09mJyqRrMm,"['FridaysForFuture', 'ClimateStrike', 'TomorrowIsTooLate', 'StopEACOP']","['climate', 'strike', 'week']",fridays for future  climate strike  tomorrow is too late  stop eacop
3,2023-03-10 09:24:11+00:00,GretaThunberg,Climate strike week 238. #FridaysForFuture #ClimateStrike #TomorrowIsTooLate #StandWithSápmi https://t.co/C8Gog77a1A,"['FridaysForFuture', 'ClimateStrike', 'TomorrowIsTooLate', 'StandWithSápmi']","['climate', 'strike', 'week']",fridays for future  climate strike  tomorrow is too late  stand with sápmi
4,2023-03-03 18:23:48+00:00,GretaThunberg,"School strike week 237. Today, hundreds of thousands of people were once again climate striking all over the world, demanding an end to fossil finance! ✊✊
#TomorrowIsTooLate #FridaysForFuture
Picture from FFF Torino https://t.co/VvxthtgeZ0","['TomorrowIsTooLate', 'FridaysForFuture']","['school', 'strike', 'week', 'today', 'hundred', 'thousand', 'people', 'climate', 'striking', 'world', 'demanding', 'end', 'fossil', 'finance', 'fff', 'torino']",tomorrow is too late  fridays for future
5,2023-02-25 08:09:03+00:00,GretaThunberg,"Join us on Friday for the next global climate strike!
This Friday, the 3rd of March, we will once again take it to the streets - demanding an end to fossil finances. Find or register your local strike at https://t.co/fCJs6MkADe 
#TomorrowIsTooLate https://t.co/fouIxu03BO",['TomorrowIsTooLate'],"['join', 'u', 'friday', 'next', 'global', 'climate', 'strike', 'friday', 'rd', 'march', 'take', 'street', 'demanding', 'end', 'fossil', 'finance', 'find', 'register', 'local', 'strike']",tomorrow is too late
6,2023-02-24 08:43:00+00:00,GretaThunberg,"Climate strike week 236. Today one year has passed since Russia invaded Ukraine, and we stand in solidarity with Ukrainians. Slava Ukraini. #FridaysForFuture #ClimateStrike #PeopleNotProfit https://t.co/qyfyv0YFfT","['FridaysForFuture', 'ClimateStrike', 'PeopleNotProfit']","['climate', 'strike', 'week', 'today', 'one', 'year', 'ha', 'passed', 'since', 'russia', 'invaded', 'ukraine', 'stand', 'solidarity', 'ukrainian', 'slava', 'ukraini']",fridays for future  climate strike  people not profit
7,2023-02-17 09:25:43+00:00,GretaThunberg,Climate strike week 235. #FridaysForFuture #ClimateStrike #PeopleNotProfit https://t.co/45TxX73J4k,"['FridaysForFuture', 'ClimateStrike', 'PeopleNotProfit']","['climate', 'strike', 'week']",fridays for future  climate strike  people not profit
8,2023-02-14 19:20:18+00:00,GretaThunberg,"This is the biggest story in the world, and it must be spoken as far and wide as our voices can carry and much further still. Thank you for your support!
I will not earn money from this book as my copyright belongs to the Greta Thunberg Foundation, so all royalties go to charity.",[],"['biggest', 'story', 'world', 'must', 'spoken', 'far', 'wide', 'voice', 'carry', 'much', 'still', 'thank', 'support', 'earn', 'money', 'book', 'copyright', 'belongs', 'greta', 'thunberg', 'foundation', 'royalty', 'go', 'charity']",
9,2023-02-14 19:20:17+00:00,GretaThunberg,I’m so pleased to share that The Climate Book is now available in the USA and Canada! I have gathered the wisdom of over one hundred contributors to highlight the many different crises we face and equip us with the knowledge we need to avoid a climate disaster. 1/2 https://t.co/z2AD32Oac1,[],"['im', 'pleased', 'share', 'climate', 'book', 'available', 'usa', 'canada', 'gathered', 'wisdom', 'one', 'hundred', 'contributor', 'highlight', 'many', 'different', 'crisis', 'face', 'equip', 'u', 'knowledge', 'need', 'avoid', 'climate', 'disaster']",
