,Date,User,Tweet,hashtag,text,Segmented#
0,2023-03-18 04:30:00+00:00,imVkohli,"My Shor Squad has their #GameOn! 🔊🔊🔊🔊 kyunki jab sab milkar dekhenge #TATAIPL2023 on TV toh hogi har ghar mein stadium-waali feel! 🤩
Watch TATA IPL LIVE on @StarSportsIndia, starting 31st March.
#IPLonStar #ShorOn #BetterTogether #ad https://t.co/pQnCoFqJcb","['GameOn', 'TATAIPL2023', 'IPLonStar', 'ShorOn', 'BetterTogether', 'ad']","['shor', 'squad', 'ha', 'kyunki', 'jab', 'sab', 'milkar', 'dekhenge', 'tv', 'toh', 'hogi', 'har', 'ghar', 'mein', 'stadiumwaali', 'feel', 'watch', 'tata', 'ipl', 'live', 'starting', 'st', 'march']",game on tataipl 2023 ip lon star  shor on  better together ad
1,2023-03-14 11:26:53+00:00,imVkohli,Guess who I met in mumbai 🔥👀 @TheQuickstyle https://t.co/wbHcM6JRo9,[],"['guess', 'met', 'mumbai']",
2,2023-03-14 10:58:30+00:00,imVkohli,It's so Wrogn and it's exciting. This is real Fashion! Go ahead and check it out here https://t.co/qyyO21Eu5q @StayWrogn @vkfofficial @myntra #InThisTogether https://t.co/Mk8gddbSUE,['InThisTogether'],"['wrogn', 'exciting', 'real', 'fashion', 'go', 'ahead', 'check']",in this together
3,2023-03-13 10:49:41+00:00,imVkohli,That's a wrap. See you at the finals. https://t.co/j8zWJ96vs7,[],"['thats', 'wrap', 'see', 'final']",
4,2023-03-07 14:47:55+00:00,imVkohli,Happy Holi to all 🙌🇮🇳 https://t.co/AHWWLI1ojl,[],"['happy', 'holi']",
5,2023-03-06 00:22:54+00:00,imVkohli,🕉️ https://t.co/tIwxNVs5KY,[],[],
6,2023-02-27 05:00:00+00:00,imVkohli,"#AddWeightToYourCV with management programs from top educational institutions like Wharton Online, Great Lakes, NUS &amp; more.
These programs can fast-track your career &amp; land you highly rewarding roles. Click on the link to know more https://t.co/FLG0D5RNix
@Great_Learning #Ad https://t.co/irbgEuP82x","['AddWeightToYourCV', 'Ad']","['management', 'program', 'top', 'educational', 'institution', 'like', 'wharton', 'online', 'great', 'lake', 'nu', 'morethese', 'program', 'fasttrack', 'career', 'land', 'highly', 'rewarding', 'role', 'click', 'link', 'know']",add weight to your cv  ad
7,2023-02-25 05:19:09+00:00,imVkohli,"The drive to grow with every experience is progress!
Making the world a better place one day at a time.
What is your story of progress?

Catch the full episode in the link below :
https://t.co/6Ao4IGucDz

#AudiIndia #FutureIsAnAttitude #Astoryofprogress #ad 
@AudiIN https://t.co/grjNdY5O2p","['AudiIndia', 'FutureIsAnAttitude', 'Astoryofprogress', 'ad']","['drive', 'grow', 'every', 'experience', 'progress', 'making', 'world', 'better', 'place', 'one', 'day', 'timewhat', 'story', 'progress', 'catch', 'full', 'episode', 'link']",audi india  future is an attitude  astoryofprogress ad
8,2023-02-23 05:00:57+00:00,imVkohli,"Get ready to unleash your bold side with #NayaSher!  So turn up the volume, and let the world hear your mighty roar! Now on your favourite audio platform
#royalchallengepackageddrinkingwater #choosebold #royalchallenge #ad

@VivianDivine @jonitamusic https://t.co/nE4EkWQhRv","['NayaSher', 'royalchallengepackageddrinkingwater', 'choosebold', 'royalchallenge', 'ad']","['get', 'ready', 'unleash', 'bold', 'side', 'turn', 'volume', 'let', 'world', 'hear', 'mighty', 'roar', 'favourite', 'audio', 'platform']",naya sher royalchallengepackageddrinkingwater choosebold royalchallenge ad
9,2023-02-21 05:03:22+00:00,imVkohli,"Get ready for a grassroots football revolution! @FCGoaOfficial and @forcagoaorg launched their Fields of Dreams Project, building 3 amazing football grounds in Goa. Let's all rally behind this amazing initiative and grow #IndianFootball together! #TogetherWeGrow https://t.co/7xhOW0zWeM","['IndianFootball', 'TogetherWeGrow']","['get', 'ready', 'grassroots', 'football', 'revolution', 'launched', 'field', 'dream', 'project', 'building', 'amazing', 'football', 'ground', 'goa', 'lets', 'rally', 'behind', 'amazing', 'initiative', 'grow', 'together']",indian football  together we grow
10,2023-02-20 05:00:00+00:00,imVkohli,"Lesser-known facts! 
Catch me spill the beans on food, fashion, and more on Ep 2! 

Click here to explore more of Wrogn-  https://t.co/lG4lxBGW2o
@StayWrogn
#StayWrogn #ad https://t.co/dMXwglq7To","['StayWrogn', 'ad']","['lesserknown', 'fact', 'catch', 'spill', 'bean', 'food', 'fashion', 'ep', 'click', 'explore', 'wrogn']",stay wrogn ad
11,2023-02-19 09:25:27+00:00,imVkohli,Delhi done. Two in a row. 🇮🇳✅ https://t.co/99YH24DD5H,[],"['delhi', 'done', 'two', 'row']",
12,2023-02-14 04:48:19+00:00,imVkohli,"Can’t tell you how excited I was to unbox my new phone.
Well, now’s my time to be in the spotlight with my new #vivoV27Pro.
 #TheSpotlightPhone @Vivo_India 
#ad https://t.co/fd8SCoFluu","['vivoV27Pro', 'TheSpotlightPhone', 'ad']","['cant', 'tell', 'excited', 'wa', 'unbox', 'new', 'phonewell', 'time', 'spotlight', 'new']",vivo v 27 pro  the spotlight phone ad
13,2023-02-12 17:04:41+00:00,imVkohli,(2/2) The women’s team is taking such giant leaps ahead with every tournament we play and it’s going to inspire a whole generation of girls to take up the sport and take women’s cricket higher and higher. More power to all of you. God bless.,[],"['woman', 'team', 'taking', 'giant', 'leap', 'ahead', 'every', 'tournament', 'play', 'going', 'inspire', 'whole', 'generation', 'girl', 'take', 'sport', 'take', 'woman', 'cricket', 'higher', 'higher', 'power', 'god', 'bless']",
14,2023-02-12 17:04:41+00:00,imVkohli,(1/2)What a win from our women's team against Pakistan in a high pressure game and a tough run chase. https://t.co/W98jFZhNUf,[],"['win', 'womens', 'team', 'pakistan', 'high', 'pressure', 'game', 'tough', 'run', 'chase']",
15,2023-02-12 03:58:00+00:00,imVkohli,"Blue is brave. Blue is brilliant. Blue is h̶i̶s̶ #HerStory unfolding, LIVE. Back the #WomenInBlue for the #ICCWomensT20WorldCup - I know I will! 

#IndVsPak| TODAY |6PM Onwards - only on Star Sports network @StarSportsIndia #ad https://t.co/1M7knHgMPn","['HerStory', 'WomenInBlue', 'ICCWomensT20WorldCup', 'IndVsPak', 'ad']","['blue', 'brave', 'blue', 'brilliant', 'blue', 'unfolding', 'live', 'back', 'know', 'today', 'pm', 'onwards', 'star', 'sport', 'network']",her story  women in blue icc womens t 20 world cup  ind vs pak ad
